chr1	x1	x2	chr2	y1	y2	color	f1	f2	f3	f4	f5
1	241680000	242170000	1	241680000	242170000	255,255,0	1.1382	0.060184	0.10998	0.87167	0.555
1	87590000	88590000	1	87590000	88590000	255,255,0	1.5193	0.075838	0.094084	0.922	0.7732
1	94370000	94870000	1	94370000	94870000	255,255,0	1.4374	0.075581	0.093597	0.88	0.7552
1	228780000	229640000	1	228780000	229640000	255,255,0	1.7711	0.055302	0.11316	0.97134	0.84262
1	17380000	17730000	1	17380000	17730000	255,255,0	1.5486	0.10496	0.063259	0.87255	0.89216
1	25560000	26150000	1	25560000	26150000	255,255,0	1.2423	0.070037	0.097856	0.81494	0.7092
1	63280000	64010000	1	63280000	64010000	255,255,0	1.2749	0.080776	0.087115	0.83258	0.78904
1	12160000	12300000	1	12160000	12300000	255,255,0	0.84567	0.067576	0.10003	0.53061	0.57143
1	165600000	165900000	1	165600000	165900000	255,255,0	1.472	0.077823	0.089308	0.75556	0.83556
1	108330000	108680000	1	108330000	108680000	255,255,0	1.3306	0.047417	0.11938	0.81373	0.83007
1	217940000	218450000	1	217940000	218450000	255,255,0	1.2762	0.080324	0.085638	0.64769	0.90615
1	222630000	222840000	1	222630000	222840000	255,255,0	1.214	0.081904	0.083902	0.77273	0.73636
1	176850000	177920000	1	176850000	177920000	255,255,0	1.6979	0.089596	0.075979	0.88435	0.93711
1	14380000	15060000	1	14380000	15060000	255,255,0	0.77879	0.080522	0.085016	0.68772	0.41782
1	6740000	7720000	1	6740000	7720000	255,255,0	1.8348	0.070606	0.093448	0.96127	0.92961
1	85560000	85730000	1	85560000	85730000	255,255,0	1.1918	0.045451	0.11791	0.68056	0.70833
1	202130000	202310000	1	202130000	202310000	255,255,0	1.1789	0.094176	0.069172	0.74074	0.74074
1	214360000	214510000	1	214360000	214510000	255,255,0	0.93784	0.075274	0.087479	0.625	0.625
1	210010000	210520000	1	210010000	210520000	255,255,0	0.76245	0.076294	0.086193	0.58923	0.54615
1	210580000	211420000	1	210580000	211420000	255,255,0	1.521	0.080578	0.081819	0.81329	0.92163
1	920000	1240000	1	920000	1240000	255,255,0	1.2426	0.09436	0.067989	0.72266	0.83984
1	15440000	15620000	1	15440000	15620000	255,255,0	1.2327	0.098788	0.063248	0.74074	0.71605
1	207260000	207620000	1	207260000	207620000	255,255,0	1.3348	0.058292	0.10316	0.89815	0.78086
1	152020000	152450000	1	152020000	152450000	255,255,0	1.4512	0.063002	0.098212	0.93723	0.74242
1	240180000	240350000	1	240180000	240350000	255,255,0	1.1985	0.093256	0.067019	0.68472	0.7375
1	237070000	237630000	1	237070000	237630000	255,255,0	0.81887	0.077871	0.081949	0.50638	0.67474
1	243280000	243500000	1	243280000	243500000	255,255,0	1.4262	0.087174	0.072305	0.79339	0.82645
1	112340000	112890000	1	112340000	112890000	255,255,0	1.453	0.081476	0.077678	0.76587	0.89815
1	243500000	244480000	1	243500000	244480000	255,255,0	1.7556	0.075324	0.083561	0.94544	0.92212
1	231460000	231750000	1	231460000	231750000	255,255,0	1.4463	0.091628	0.067109	0.83333	0.87143
1	58960000	59160000	1	58960000	59160000	255,255,0	1.1268	0.058808	0.099166	0.75	0.71
1	67210000	67660000	1	67210000	67660000	255,255,0	1.1912	0.083997	0.073388	0.86166	0.66601
1	110320000	110560000	1	110320000	110560000	255,255,0	1.4865	0.070173	0.087037	0.78472	0.85417
1	244620000	245230000	1	244620000	245230000	255,255,0	1.2165	0.074944	0.081885	0.79247	0.74731
1	169860000	170910000	1	169860000	170910000	255,255,0	1.774	0.064729	0.091699	0.96988	0.86901
1	48550000	49030000	1	48550000	49030000	255,255,0	0.79193	0.077691	0.078491	0.54065	0.62074
